meeting_id,title,duration_min,participants,date,action_items,site,outcome,follow_up_due
MTG-001,Ford Atlas OEM Deal - Legal Redline Review,60,5,2026-03-14,3,Detroit,5 redlines identified; CFO + Legal aligned on fallback terms; follow-up call with Ford procurement scheduled,2026-03-17
MTG-002,Supplier X Dual-Source Emergency Review,45,6,2026-03-13,4,Detroit,Bosch and Sensata RFQ approved; Jennifer Wu to manage; safety stock build authorized to Mar 21,2026-03-15
MTG-003,Axle-B Quality Sprint Kickoff,90,8,2026-03-13,5,Detroit,TQM sprint team formed; batch P2203 quarantine confirmed; Ford audit preparation plan approved,2026-03-17
MTG-004,Tesla RFQ - Pricing Strategy Session,60,4,2026-03-14,3,Plano Texas,NVH compliance confirmed; pricing model reviewed; CFO to sign off by Mar 18; CEO call with Tesla VP scheduled,2026-03-18
MTG-005,Board Prep - Q1 Update and Decisions Brief,120,6,2026-03-12,2,Detroit,Board brief drafted covering DEC-001 through DEC-004; value at stake $36M-$79M; CEO approved for board,2026-03-16
MTG-006,Bajaj Auto - Tier-1 Braking Commercial Discussion,45,3,2026-03-11,2,Pune,Bajaj VP confirmed interest; site visit proposed Apr 15; Sanjay Patel to prepare commercial proposal by Apr 1,2026-04-01
MTG-007,JLR EV Platform - Pricing and Hedge Review,75,5,2026-03-11,3,Michigan,GBP/USD hedge strategy approved; final pricing model submitted; Euro 7 compliance docs ready for submission,2026-03-18
MTG-008,Pune Plant Q1 Review - Quality and Supply,60,7,2026-03-10,3,Pune,Batch B2204 escalation plan confirmed; alternate supplier qualification approved; PLI scheme review flagged,2026-03-20
MTG-009,Gestamp UK Force Majeure Response,45,4,2026-03-11,3,Michigan,Emergency RFQ to Continental and Bosch UK authorized; JLR procurement notified proactively; penalty clause risk assessed,2026-03-18
MTG-010,Section 301 Tariff Exposure Assessment,30,3,2026-03-08,1,Detroit,China-sourced castings exposure confirmed at 30% ($3.2M/yr risk); procurement diversification plan to be presented by Apr 1,2026-04-01
MTG-011,Detroit Plant Capacity Planning - Second Shift,60,5,2026-03-09,3,Detroit,Second shift feasibility confirmed; capital requirement $2.1M; CEO approval needed; HR lead time 6 weeks,2026-03-21
MTG-012,EV Drivetrain R&D Review - Plano,90,6,2026-03-12,2,Plano Texas,NVH test results reviewed; Tesla spec ±0.02mm confirmed met; DOT Jan 2027 standard gap analysis initiated; recert cost $0.8M-$1.5M,2026-03-25
MTG-013,India Operations QBR - Q1 2026,120,9,2026-03-10,4,Pune,Q1 cost variance reviewed; lean program results positive; PLI risk flagged; Bajaj opportunity prioritized,2026-03-31
MTG-014,Revenue Review - All Sites,90,10,2026-03-14,5,Detroit,Q1 order intake $42.6M reviewed; 2 Ford deals stalled; Tesla RFQ shortlisted; book-to-bill 1.12x discussed; actions assigned,2026-03-17
