competitor_id,competitor,event_type,strategic_impact,event_date,region,product_lines_affected,details,gis_response_needed
COMP-001,Alpha Automotive TX,New Product Launch,High,2026-03-09,USA,EV Drivetrain,Alpha Automotive TX announced NVH-certified EV motor shaft assembly meeting Tesla Gigafactory TX specs. Series B funding announced same week. Direct competition for DEC-005 Tesla award.,Yes - pricing and technical response by Mar 20
COMP-002,Alpha Automotive TX,Price Cut,High,2026-03-08,USA,Car Axle,Alpha discounting 8-12% on US OEM Car Axle re-bid contracts to gain share from GIS Detroit. Specifically targeting Ford Atlas program.,Yes - linked to DEC-001 pricing playbook
COMP-003,Minda Industries,Acquisition,Medium,2026-03-05,India,Braking Systems,Minda Industries acquired a small Pune-based braking caliper manufacturer to vertically integrate. Now competing directly for Bajaj Auto Tier-1 sourcing.,Yes - accelerate DEC-004 Bajaj response
COMP-004,Nexteer Automotive,New Product Launch,High,2026-03-11,UK,Steering,Nexteer Automotive launched Euro 7 compliant EPS steering rack. Competing directly with GIS Michigan for JLR JEA platform award and Nissan UK programs.,Yes - linked to JLR and Nissan UK pipeline
COMP-005,Gestamp UK,Supply Disruption,Low,2026-03-05,UK,Steering,Gestamp UK issued force majeure on EPS component SKUs following UK steel tariff impact. Creates opportunity for GIS to position as reliable alternative supplier to OEMs.,Opportunity - position as reliable supplier
COMP-006,Continental UK,Partnership,Medium,2026-03-10,UK,Braking Systems,Continental UK announced partnership with Nissan UK for brake caliper supply agreement. Potential displacement of GIS in Nissan UK pipeline.,Yes - accelerate Nissan UK commercial close
COMP-007,Delphi Technologies,Price Cut,Medium,2026-03-07,USA,Car Axle,Delphi Technologies reducing sensor component pricing by 5-8% to maintain market share as GIS evaluates dual-source alternatives following OTIF decline.,Monitor - affects DEC-002 dual-source cost model
COMP-008,Bosch North America,New Product Launch,Positive for GIS,2026-03-01,USA,Car Axle,Bosch North America launched new sensor module with 3-week lead time and ISO-certified quality. Strong candidate for GIS dual-source program at Detroit.,Opportunity - DEC-002 dual-source solution
COMP-009,Sensata Technologies,New Product Launch,Positive for GIS,2026-03-03,USA,Car Axle,Sensata Technologies expanded sensor module portfolio with competitive pricing. Responding positively to GIS dual-source RFQ.,Opportunity - DEC-002 dual-source candidate
COMP-010,Tata Steel,Price Increase,Medium,2026-03-08,India,Car Axle,Tata Steel India increased HRC steel prices 5.8% following global benchmark rise. Primary steel supplier for GIS Pune - impacts casting cost base.,Monitor - ERP cost variance tracking needed
