cost_center,site,budget_mn,actual_mn,variance_pct,month,category,notes
Production,Detroit,18.50,19.80,7.0,2026-01-31,Manufacturing,Overtime and expedite costs for Axle-B ramp up
Production,Detroit,18.50,20.40,10.3,2026-02-28,Manufacturing,Supplier X OTIF issue causing production rescheduling costs
Production,Detroit,18.50,21.20,14.6,2026-03-14,Manufacturing,Scrap rework batch P2203 adding ~$1.2M unplanned cost
Quality,Detroit,2.80,3.40,21.4,2026-01-31,Quality,Increased inspection frequency on Axle-B program
Quality,Detroit,2.80,3.80,35.7,2026-02-28,Quality,External audit preparation costs Ford quality review
Quality,Detroit,2.80,4.10,46.4,2026-03-14,Quality,TQM sprint batch P2203 root cause analysis in progress
Procurement,Detroit,4.20,4.60,9.5,2026-01-31,Procurement,Spot purchases from alternate sensor suppliers
Procurement,Detroit,4.20,5.10,21.4,2026-02-28,Procurement,Emergency dual-source RFQ costs and expedite fees
Procurement,Detroit,4.20,5.60,33.3,2026-03-14,Procurement,Bosch/Sensata sensor RFQ in progress; bridge supply costs
R&D,Detroit,3.10,3.00,-3.2,2026-01-31,R&D,Slightly under budget; Q1 project on track
R&D,Detroit,3.10,3.15,1.6,2026-02-28,R&D,EV axle prototype testing within budget
R&D,Detroit,3.10,3.20,3.2,2026-03-14,R&D,NVH compliance validation for Ford Q2 ramp
Admin,Detroit,1.40,1.38,-1.4,2026-01-31,Admin,Within budget
Admin,Detroit,1.40,1.42,1.4,2026-02-28,Admin,Within budget
Admin,Detroit,1.40,1.45,3.6,2026-03-14,Admin,Recruitment costs for second shift planning
Production,Pune,12.80,12.20,-4.7,2026-01-31,Manufacturing,Cost reduction from lean program yielding results
Production,Pune,12.80,12.60,-1.6,2026-02-28,Manufacturing,Batch B2204 rework beginning to impact cost
Production,Pune,12.80,13.40,4.7,2026-03-14,Manufacturing,Scrap containment sprint in progress - cost escalating
Quality,Pune,1.90,1.85,-2.6,2026-01-31,Quality,Below budget; quality stable
Quality,Pune,1.90,2.10,10.5,2026-02-28,Quality,Increased inspection after batch B2204 defect detection
Quality,Pune,1.90,2.40,26.3,2026-03-14,Quality,Corrective action team deployed; audit preparation
Procurement,Pune,3.60,3.55,-1.4,2026-01-31,Procurement,Good supplier performance; within budget
Procurement,Pune,3.60,3.70,2.8,2026-02-28,Procurement,Alternate casting supplier qualification costs
Procurement,Pune,3.60,3.90,8.3,2026-03-14,Procurement,Dual-source qualification expedite in progress
R&D,Pune,1.50,1.48,-1.3,2026-01-31,R&D,EV component feasibility studies on track
R&D,Pune,1.50,1.52,1.3,2026-02-28,R&D,Braking systems NVH study on schedule
R&D,Pune,1.50,1.55,3.3,2026-03-14,R&D,PLI scheme certification work ongoing
Admin,Pune,0.80,0.78,-2.5,2026-01-31,Admin,Within budget
Admin,Pune,0.80,0.81,1.3,2026-02-28,Admin,Within budget
Admin,Pune,0.80,0.83,3.8,2026-03-14,Admin,Within budget
Production,Michigan,8.40,8.20,-2.4,2026-01-31,Manufacturing,Below budget; JLR ramp running efficiently
Production,Michigan,8.40,8.35,-0.6,2026-02-28,Manufacturing,Gestamp UK force majeure starting to impact
Production,Michigan,8.40,8.80,4.8,2026-03-14,Manufacturing,EPS module supply disruption causing line changeover costs
Quality,Michigan,1.20,1.18,-1.7,2026-01-31,Quality,UKCA compliance audit passed; cost within budget
Quality,Michigan,1.20,1.22,1.7,2026-02-28,Quality,Euro 7 gap analysis underway
Quality,Michigan,1.20,1.30,8.3,2026-03-14,Quality,Euro 7 recertification cost estimate in preparation
Procurement,Michigan,2.80,2.75,-1.8,2026-01-31,Procurement,Steel tariff impact partially absorbed
Procurement,Michigan,2.80,3.00,7.1,2026-02-28,Procurement,UK steel tariff +9% driving cost overrun
Procurement,Michigan,2.80,3.20,14.3,2026-03-14,Procurement,Emergency RFQ to Continental and Bosch UK
R&D,Michigan,1.10,1.08,-1.8,2026-01-31,R&D,Euro 7 steering compliance study on track
R&D,Michigan,1.10,1.12,1.8,2026-02-28,R&D,EPS torque tolerance study progressing
R&D,Michigan,1.10,1.15,4.5,2026-03-14,R&D,Accelerated Euro 7 cert timeline - additional resource
Admin,Michigan,0.60,0.59,-1.7,2026-01-31,Admin,Within budget
Admin,Michigan,0.60,0.61,1.7,2026-02-28,Admin,Within budget
Admin,Michigan,0.60,0.62,3.3,2026-03-14,Admin,Within budget
Production,Plano Texas,14.20,14.80,4.2,2026-01-31,Manufacturing,Ford Plano ramp going well; utilization at 88%
Production,Plano Texas,14.20,15.30,7.7,2026-02-28,Manufacturing,Utilization at 91%; overtime to meet demand increase
Production,Plano Texas,14.20,15.90,11.9,2026-03-14,Manufacturing,Utilization at 92%; second shift planning underway
Quality,Plano Texas,2.10,2.05,-2.4,2026-01-31,Quality,Quality stable; no major incidents
Quality,Plano Texas,2.10,2.08,-0.9,2026-02-28,Quality,Ford compliance audit preparation costs
Quality,Plano Texas,2.10,2.15,2.4,2026-03-14,Quality,Tesla NVH tolerance validation for RFQ; $0.2M cost
Procurement,Plano Texas,3.90,3.85,-1.3,2026-01-31,Procurement,Good supplier performance; within budget
Procurement,Plano Texas,3.90,3.92,0.5,2026-02-28,Procurement,Minor tariff impact on fastener imports
Procurement,Plano Texas,3.90,3.95,1.3,2026-03-14,Procurement,Section 301 tariff exposure being assessed
R&D,Plano Texas,4.50,4.40,-2.2,2026-01-31,R&D,EV Drivetrain R&D line investment on schedule
R&D,Plano Texas,4.50,4.55,1.1,2026-02-28,R&D,Motor shaft NVH prototype testing in progress
R&D,Plano Texas,4.50,4.62,2.7,2026-03-14,R&D,Tesla RFQ NVH compliance validation completed
Admin,Plano Texas,1.00,0.98,-2.0,2026-01-31,Admin,Within budget
Admin,Plano Texas,1.00,1.01,1.0,2026-02-28,Admin,Within budget
Admin,Plano Texas,1.00,1.03,3.0,2026-03-14,Admin,Tesla bid-related travel and legal review costs
IT,179.7,98.78,0.26,2025-07-19
IT,171.7,229.66,3.29,2025-08-17
Ops,174.45,153.87,3.8,2025-12-25
HR,15.63,43.0,4.03,2025-11-24
